spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,x,y
1933,"Boris Stepanovich Zakharov to Sergey Sergeevich Prokofiev, 14 May 1922","Box: 1; Folder: 1922, May","Binder III, page 129",14 May 1922,exact,Boris Stepanovich Zakharov,not_stated,not_stated,Berlin,,Berlin,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,postcard,handwritten,Russian,,11.09309,47.5688
1938,"Clerical assistant to Sergey Sergeevich Prokofiev, 16 May 1922","Box: 1; Folder: 1922, May","Binder III, page 140",16 May 1922,exact,Clerical assistant,Breitkopf & Hartel,Nürnbergerstrasse 36,Leipzig,,"Nürnbergerstrasse 36, Leipzig",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,German,"Letterhead is from ""Breitkopf and Hartel",11.09309,47.5688
1945,"Leona Spitzer to Sergey Sergeevich Prokofiev, 27 May 1922","Box: 1; Folder: 1922, May","Binder III, page 146",27 May 1922,exact,Leona Spitzer,not_stated,not_stated,not_stated,,not_stated,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,handwritten,English,,11.09309,47.5688
1950,"Clerical assistant to Sergey Sergeevich Prokofiev, 31 May 1922","Box: 1; Folder: 1922, May","Binder III, page 153",31 May 1922,exact,Clerical assistant,Breitkopf & Hartel,Nürnbergerstrasse 36,Leipzig,,"Nürnbergerstrasse 36, Leipzig",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,postcard,typed,German,,11.09309,47.5688
1956,"Pierre Petrovich Souvchinsky to Sergey Sergeevich Prokofiev, [05 June 1922]",not_stated,"Binder III, page 161",05 June 1922,implied,Pierre Petrovich Souvchinsky,not_stated,not_stated,not_stated,,not_stated,Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",photocopy,postcard,handwritten,Russian,,11.09309,47.5688
1961,"Pierre Petrovich Souvchinsky to Sergey Sergeevich Prokofiev, [07 June 1922]","Box: 1; Folder: 1922, June","Binder III, page 163",07 June 1922,implied,Pierre Petrovich Souvchinsky,not_stated,not_stated,Berlin,,Berlin,Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,postcard,handwritten,Russian,,11.09309,47.5688
1962,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 08 June 1922","Box: 1; Folder: 1922, June","Binder III, page 166",08 June 1922,exact,Ernest Alexandrovich Oeberg,not_stated,Dessauerstrasse 17,Berlin,,"Dessauerstrasse 17, Berlin",Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,postcard,handwritten,Russian,,11.09309,47.5688
1963,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 09 June 1922","Box: 1; Folder: 1922, June","Binder III, page 168",09 June 1922,exact,Ernest Alexandrovich Oeberg,not_stated,Dessauerstrasse 17,Berlin,,"Dessauerstrasse 17, Berlin",Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,postcard,handwritten,Russian,,11.09309,47.5688
1965,"John H. Tillett to Sergey Sergeevich Prokofiev, 14 June 1922","Box: 1; Folder: 1922, June","Binder III, page 171",14 June 1922,exact,John H. Tillett,not_stated,19 Hanover Square,London,,"19 Hanover Square, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,English,,11.09309,47.5688
1968,"Harold McCormick to Sergey Sergeevich Prokofiev, [16 June 1922]","Box: 1; Folder: 1922, June","Binder III, page 173",16 June 1922,implied,Harold McCormick,not_stated,not_stated,Chicago,,Chicago,Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,Ettal,Germany,"Villa Christophorus, Ettal",original,telegram,handwritten,English,,11.09309,47.5688
