spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,x,y
5933,"Sergey Sergeevich Prokofiev to S. Ughet, 09 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 186",09 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",S. Ughet,not_stated,17 East 45th Street,New York,,"17 East 45th Street, New York",original,letter,draft,Russian,Typed draft.,-73.97851074,40.75506898
5939,"Sergey Sergeevich Prokofiev to Clerical assistant, 12 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 195",12 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",Clerical assistant,Baltijas Makslas Agentura,not_stated,Riga,,Riga,original,letter,draft,Russian,Typed draft. Recipient: 'Baltijas Makslag Agentura' [Baltische Konzert-Agentur].,24.11487,56.94598
5941,"Sergey Sergeevich Prokofiev to Vladimir Vladimirovich Derzhanovsky, 13 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 200",13 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",Vladimir Vladimirovich Derzhanovsky,not_stated,not_stated,Moscow,,Moscow,original,letter,draft,Russian,,37.61501,55.75696
5944,"Sergey Sergeevich Prokofiev to M. Bliumberg, 14 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 205",14 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",M. Bliumberg,not_stated,Lassalia Ul. 2,Leningrad,,"Lassalia Ul. 2, Leningrad",original,letter,draft,Russian,Typed draft.,30.26417,59.89444
5951,"Sergey Sergeevich Prokofiev to Vladimir Alexandrovich Dukelsky, 19 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 212",19 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",Vladimir Alexandrovich Dukelsky,not_stated,not_stated,London,,London,original,letter,draft,Russian,Typed draft.,-0.1272099998,51.50642
5955,"Sergey Sergeevich Prokofiev to Raoul Pourtet, 21 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 217",21 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",Raoul Pourtet,not_stated,65 Boulevard Gambetta,Marmande,,"65 Boulevard Gambetta, Marmande",original,letter,draft,French,Typed draft.,0.1674529426,44.5024937
5960,"Sergey Sergeevich Prokofiev to Albert Wolff, 24 November 1928",not_stated,"Binder XIX, page 224",24 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",Albert Wolff,not_stated,not_stated,Paris,,Paris,photocopy,letter,draft,French,,2.34144,48.85721
5972,"Sergey Sergeevich Prokofiev to Jean Fassina, 29 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 239",29 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",Jean Fassina,not_stated,11 Quai des Deux-Emmanuel,Nice,,"11 Quai des Deux-Emmanuel, Nice",original,letter,draft,French,Typed draft.,7.286334066,43.69709088
5973,"Sergey Sergeevich Prokofiev to Clerical assistant, 29 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 241",29 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,Clerical assistant,Compleage,not_stated,New York,,New York,original,telegram,draft,English,,-74.00714,40.71455
5975,"Sergey Sergeevich Prokofiev to Tania Raevskaya, 30 November 1928","Box: 2; Folder: 1928, November","Binder XIX, page 242",30 November 1928,exact,Sergey Sergeevich Prokofiev,not_stated,1 Rue Obligado,Paris,,"1 Rue Obligado, Paris",Tania Raevskaya,not_stated,not_stated,Berlin,,Berlin,original,letter,draft,Russian,Typed draft.,13.37691,52.51604
