SPA id,item_title,container,goldsmiths,date,date_qualifier,Sender,sender_organization,sender_address,sender_city,sender_country,address,Recipient,recipient_organization,recipient_address,recipient_city,recipient_country,address,format,document_type,format,language,notes,x,y
1647,"Sergey Sergeevich Prokofiev to Albert Coates, 09 March 1921","Box: 1; Folder: 1921, March","Binder XLI, page 99",09 March 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Paris,,Paris,Albert Coates,not_stated,not_stated,London,,London,original,letter,draft,English,,2.34144,48.85721
1649,"Sergey Sergeevich Prokofiev to Pierre Petrovich Souvchinsky, 11 March 1921",not_stated,"Binder XLIII, page 20",11 March 1921,exact,Sergey Sergeevich Prokofiev,not_stated,11 Rue Scribe,Paris,,"11 Rue Scribe, Paris",Pierre Petrovich Souvchinsky,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,typed,Russian,,2.330767892,48.87212798
1650,"Sergey Sergeevich Prokofiev to Pierre Petrovich Souvchinsky, 11 March 1921",not_stated,"Binder XLIII, page 20",11 March 1921,exact,Sergey Sergeevich Prokofiev,not_stated,11 Rue Scribe,Paris,,"11 Rue Scribe, Paris",Pierre Petrovich Souvchinsky,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,,2.330767892,48.87212798
1652,"Sergey Sergeevich Prokofiev to Alexander Fedorovich Skliarevsky, 21 March 1921","Box: 1; Folder: 1921, March","Binder XLI, page 152",21 March 1921,exact,Sergey Sergeevich Prokofiev,not_stated,Les Rochelets,St. Brévin-les-Pins,,"Les Rochelets, St. Brévin-les-Pins",Alexander Fedorovich Skliarevsky,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,Date: '21/03/1921' or '21/05/1921'. More likely '21/03/1921'.,-2.1637,47.21926
1653,"Sergey Sergeevich Prokofiev to Mme Staal, 24 March 1921","Box: 1; Folder: 1921, March","Binder XLI, page 109",24 March 1921,exact,Sergey Sergeevich Prokofiev,not_stated,Les Rochelets,St. Brévin-les-Pins,,"Les Rochelets, St. Brévin-les-Pins",Mme Staal,not_stated,not_stated,Paris,,Paris,original,letter,handwritten,English,,-2.1637,47.21926
1654,"Sergey Sergeevich Prokofiev to Adelina Avgustovna Iung, 24 March 1921","Box: 1; Folder: 1921, March","Binder XLI, page 114",24 March 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Paris,,Paris,Adelina Avgustovna Iung,not_stated,not_stated,St. Brévin-les-Pins,,St. Brévin-les-Pins,original,letter,handwritten,Russian,,2.34144,48.85721
1655,"Sergey Sergeevich Prokofiev to Ephraim Gottlieb, 28 March 1921","Box: 1; Folder: 1921, March","Binder XLI, page 113",28 March 1921,exact,Sergey Sergeevich Prokofiev,not_stated,Les Rochelets,St. Brévin-les-Pins,,"Les Rochelets, St. Brévin-les-Pins",Ephraim Gottlieb,not_stated,not_stated,Chicago,,Chicago,original,letter,draft,English,,-2.1637,47.21926
1659,"Sergey Sergeevich Prokofiev to Mme Sert, 02 April 1921","Box: 1; Folder: 1921, April","Binder XLI, page 122",02 April 1921,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Paris,,Paris,Mme Sert,not_stated,not_stated,Paris,,Paris,original,letter,draft,French,,2.34144,48.85721
1663,"Sergey Sergeevich Prokofiev to Boris de Schloezer, 09 April 1921","Box: 1; Folder: 1921, April","Binder XLI, page 192",09 April 1921,exact,Sergey Sergeevich Prokofiev,not_stated,Les Rochelets,St. Brévin-les-Pins,,"Les Rochelets, St. Brévin-les-Pins",Boris de Schloezer,not_stated,not_stated,Paris,,Paris,original,letter,handwritten,Russian,Date altered by hand 'August'.,-2.1637,47.21926
1664,"Sergey Sergeevich Prokofiev to Albert Coates, 15 April 1921","Box: 1; Folder: 1921, April","Binder XLI, page 127",15 April 1921,exact,Sergey Sergeevich Prokofiev,not_stated,Les Rochelets,St. Brévin-les-Pins,,"Les Rochelets, St. Brévin-les-Pins",Albert Coates,not_stated,not_stated,London,,London,original,letter,draft,English,,-2.1637,47.21926
1666,"Sergey Sergeevich Prokofiev to John Carpenter, 15 April 1921",not_stated,"Binder XLIII, page 100",15 April 1921,exact,Sergey Sergeevich Prokofiev,not_stated,Les Rochelets,St. Brévin-les-Pins,,"Les Rochelets, St. Brévin-les-Pins",John Carpenter,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,English,"Copy of letter provided by Peter Sorrenti, 165 N Cady Drive, Palatine, IL 674-5519, USA",-2.1637,47.21926
1668,"Sergey Sergeevich Prokofiev to Vera Janacopulos, 20 April 1921",not_stated,"Binder XLI, page 129",20 April 1921,exact,Sergey Sergeevich Prokofiev,not_stated,Les Rochelets,St. Brévin-les-Pins,,"Les Rochelets, St. Brévin-les-Pins",Vera Janacopulos,not_stated,7 Rue Huysmans,Paris,,"7 Rue Huysmans, Paris",photocopy,telegram,draft,French,,-2.1637,47.21926
